site,lat,lon
Arslantepe,38.38,38.36
Değirmentepe,38.48,38.45
Imamoğlu,38.48,38.48
Imikuşağı,38.52,38.46
Sarız,38.47,36.5
Yalak (Boz Höyük),38.3,36.44
Yassıhöyük (Tanır),38.39,36.91
