lat,lon,elevation_m,slope_deg,dist_water_km,dist_known_site_km,dist_to_prediction_km,in_lake,rank_score
40.6,35.6,617.0,0.4288954867264721,5.9890849143555975,6.146752955574458,40.66023244890864,False,189.5
40.09762879795945,36.441353679550915,1177.0,0.5930690837163975,0.8658251001277455,5.988569279671732,68.45377486160034,False,200.5
40.09762879795945,36.31473828736122,1256.0,0.436904062495031,3.9500970920441385,8.957882948232097,57.709035396308614,False,209.0
40.55,35.63,442.0,1.0828748515303495,0.8897769497110493,6.146752955574458,34.76566868906991,False,242.5
40.66621719846329,35.681661326412744,596.0,0.2087739417501913,8.603734823460506,10.266166713955197,47.38236670865348,False,243.5
40.52407009833733,35.681661326412744,440.0,1.0603941189892323,3.3990451245475515,5.368122258061171,31.588244472435655,False,272.5
40.38192299821137,35.428430542033354,670.0,0.633156238647515,3.219966095429711,21.27537594148809,27.246923721369985,False,289.5
40.09762879795945,35.681661326412744,979.0,0.7176218360655359,6.03034614072466,15.864957310600701,15.794122236217827,False,304.5
40.23977589808541,35.428430542033354,865.0,0.5335902978272115,3.624707307927555,31.243094682669305,22.20226463822022,False,343.5
40.38192299821137,35.555045934223045,640.0,1.4894605659887634,2.4018755938300105,12.023657179336562,19.305166043807763,False,361.5
40.52407009833733,35.555045934223045,587.0,1.4753495091864013,4.43606741434024,7.175488084872575,33.48211952097357,False,369.5
40.09762879795945,36.188122895171524,1339.0,1.1538571728585334,6.454398249839513,8.801072061032448,47.12978376223305,False,389.5
40.16,36.25,1256.0,0.436904062495031,10.812368284106185,24.092377722115465,50.61191558199632,False,407.0
40.23977589808541,35.555045934223045,870.0,1.342980894199793,1.2556606938415176,25.846811715660415,11.101132319110421,False,417.5
39.95548169783349,35.555045934223045,918.0,1.052467678098334,0.19514283613025307,33.70293868612407,33.48211952097357,False,422.5
40.46,35.65,512.0,1.6568966707258272,5.565212348095406,10.152577655528825,24.626300248152052,False,423.0
40.09762879795945,35.555045934223045,1040.0,1.2888133963990258,1.527292017178764,26.50700049345522,19.305166043807763,False,425.5
40.52407009833733,35.80827671860244,496.0,2.063848077205302,1.235354903516442,15.596532823684429,33.48211952097357,False,435.5
39.95548169783349,36.188122895171524,1311.0,0.8291266405873383,5.8506659103998295,23.362874817922126,54.49384744273997,False,435.5
40.38192299821137,36.31473828736122,1114.0,0.7148972661659413,6.2683484176164574,25.302951399410748,57.709035396308614,False,443.5
40.52407009833733,35.30181514984366,864.0,0.6263742787015171,18.20312497069064,10.870478507094196,45.90134461808129,False,444.5
40.38192299821137,36.061507502981826,666.0,1.0333456983563511,3.495328013218614,29.68400296577696,36.85879197844238,False,455.5
39.95548169783349,35.934892110792134,1054.0,1.7257220186114481,0.45810567528280255,22.858834060390294,38.61033208761517,False,455.5
40.38192299821137,35.30181514984366,862.0,0.9419062068617826,6.994057081422786,25.18175419306706,36.85879197844238,False,462.5
