lat,lon,elevation_m,slope_deg,dist_water_km,dist_known_site_km,dist_to_prediction_km,in_lake,rank_score
38.8740764254472,34.9500451156948,1254.0,0.15700477905341872,10.492399743469225,16.372709243128362,60.03208364572951,False,225.5
38.8740764254472,34.52699744336597,1270.0,0.6902639041806831,3.8983747366087167,6.532826157267953,29.194981833666635,False,234.5
38.46821376361639,33.68090209870831,915.0,0.08430211576287006,10.755173273628907,14.943044015456499,87.58494550099951,False,238.5
38.93,34.55,1241.0,0.38429673248832996,9.11952446668975,21.159258754231477,26.260534734663715,False,274.0
39.01,34.83,1178.0,0.17991398600482805,21.453645030559944,7.532846517130636,45.72188668905346,False,274.0
39.077007756362605,33.892425934872726,862.0,0.8532804351126839,2.5188464221176647,14.987618680457944,37.09113170678212,False,299.5
39.077007756362605,34.73852127953038,1157.0,0.1806469832547511,25.99986046404834,10.943529214977863,37.09113170678212,False,311.5
38.46821376361639,33.4693782625439,911.0,0.0403044241690882,4.938478344745944,32.71063015807663,100.3926728808944,False,316.0
39.077007756362605,34.103949771037136,928.0,0.7772127057020233,4.04270399453167,19.527819330499817,18.545565853391373,False,318.5
38.8740764254472,33.4693782625439,919.0,0.04395367923055026,3.989552068116962,42.97511234347883,77.53332932749039,False,331.5
38.8740764254472,34.103949771037136,1005.0,0.6411659269785983,11.478874930148407,15.917074048999915,29.194981833666635,False,331.5
38.671145094531795,34.73852127953038,1027.0,0.25740161575746767,9.061498435827918,31.310891710369745,58.38996366733287,False,333.5
38.8740764254472,34.315473607201554,902.0,0.8588861576249511,2.315440184794189,21.48069365979554,22.547925657267204,False,334.5
38.671145094531795,34.52699744336597,1037.0,0.5306039290541861,11.760426539018683,21.8614614707528,48.76037139527416,False,368.5
39.077007756362605,35.16156895185921,1130.0,0.5500598385325776,16.8382824692714,11.9481003650263,74.18226341356424,False,378.5
39.27993908727801,34.315473607201554,1152.0,0.2359879273835175,26.52969524743688,21.119783722298344,22.547925657267204,False,388.5
39.077007756362605,35.584616624188044,1464.0,0.41156222707299583,3.235229059983829,32.76329174925048,111.27339512034699,False,392.5
38.95,34.79,1310.0,0.8721204729613273,15.467820405982724,7.532846517130636,43.93277702956594,False,394.5
39.077007756362605,34.52699744336597,1209.0,0.5640370921166049,21.278433565658716,16.458229006961332,18.545565853391373,False,399.5
38.265282432700985,33.68090209870831,924.0,0.06994997844168442,22.770777091621678,21.166760568402584,105.97162515755147,False,416.5
39.077007756362605,34.9500451156948,1171.0,0.4522712638280996,27.311418267383075,12.892238935991251,55.636697560173495,False,418.5
38.8740764254472,34.73852127953038,1079.0,1.5298221562847423,8.252653143089798,9.567471888147844,43.406923442413046,False,434.5
39.077007756362605,35.37309278802363,1331.0,0.9061168881649342,8.947155248920762,16.252913014815128,92.72782926695562,False,440.5
39.27993908727801,34.103949771037136,1132.0,1.0343136510075595,20.25043889427519,4.9216398128137095,29.194981833666635,False,444.5
38.8740764254472,35.16156895185921,1172.0,0.7844331714995274,3.4697038469944497,32.759599673553126,77.53332932749039,False,449.5
38.95,33.95,977.0,0.5300688274734692,9.952213041046065,42.66187001548559,35.013122790511254,False,450.5
38.671145094531795,33.892425934872726,1271.0,0.6370383988801612,13.428602891990176,29.267055601499532,58.38996366733287,False,455.5
38.46821376361639,34.315473607201554,1230.0,0.4084726770508283,34.83035170135049,15.911553265561244,67.64377697180161,False,461.5
40.294595741855034,33.892425934872726,665.0,0.3517181183898869,5.062087801454813,32.27284593065836,140.27998539824992,False,463.5
39.27993908727801,33.892425934872726,1353.0,0.9916599773555148,15.270718947536217,17.037483325374655,43.406923442413046,False,466.5
38.265282432700985,33.892425934872726,965.0,0.19009974276681194,34.6431138161216,17.00638167613535,97.52074279054808,False,469.5
40.497527072770445,35.37309278802363,776.0,0.1458212559615116,14.217623994765033,11.4019747907712,183.05870353905246,False,472.5
39.482870418193414,34.315473607201554,1248.0,0.07425528867551634,42.70102453920933,27.45401605850392,45.09585131453441,False,488.5
39.27993908727801,33.4693782625439,895.0,0.5297530225308615,3.281101799600186,53.7216019328156,77.53332932749039,False,488.5
39.888733080024224,35.16156895185921,1227.0,0.31988519858455766,32.480584847297344,11.240290820447312,116.77992733466574,False,491.5
